station_id,station_code,station_name,date,flow_m3,NH4-N_tonnes,NO3-N_tonnes,PO4-P_tonnes,SPM_tonnes,Si_tonnes,TOC_tonnes,TOTN_tonnes,TOTP_tonnes
29612,BUSEDRA,Drammenselva,1990-05-31,2801997303,61.644,673.867,3.414,4102.057,3143.475,6416.574,1053.856,15.825
29612,BUSEDRA,Drammenselva,1990-08-31,2381513970,52.393,326.026,6.645,3075.112,2671.748,5453.667,691.94,14.361
29612,BUSEDRA,Drammenselva,1990-11-30,2063648047,45.4,402.46,4.417,1968.504,2315.144,4725.754,658.541,10.91
29612,BUSEDRA,Drammenselva,1991-02-28,2266769884,49.869,581.537,3.503,2312.931,2543.02,5190.903,843.728,12.61
29612,BUSEDRA,Drammenselva,1991-05-31,2339713683,51.474,626.322,3.052,4003.009,2624.853,5357.944,930.524,12.903
29612,BUSEDRA,Drammenselva,1991-08-31,1278813196,28.134,224.078,2.2,2268.492,1434.661,2928.482,411.671,8.787
29612,BUSEDRA,Drammenselva,1991-11-30,1261633737,27.756,274.825,2.451,2292.146,1415.388,2940.392,466.755,6.598
29612,BUSEDRA,Drammenselva,1992-02-29,1890934770,42.581,496.956,3.825,2944.424,2121.382,4762.599,735.282,10.608
29612,BUSEDRA,Drammenselva,1992-05-31,2109398691,48.981,644.32,4.246,5259.084,2366.47,5853.867,929.673,14.143
29612,BUSEDRA,Drammenselva,1992-08-31,1642154157,38.342,219.063,2.202,3404.288,1842.282,4621.901,503.081,9.771
29612,BUSEDRA,Drammenselva,1992-11-30,2338703126,38.293,839.836,3.088,3466.58,2623.719,6159.601,1161.279,12.216
29612,BUSEDRA,Drammenselva,1993-02-28,2221937927,28.326,636.017,2.476,2729.483,2492.724,5396.89,877.657,8.837
29612,BUSEDRA,Drammenselva,1993-05-31,3079073496,33.847,789.71,5.784,6761.66,3454.318,7979.046,1184.163,17.837
29612,BUSEDRA,Drammenselva,1993-08-31,2781510569,33.319,441.96,2.027,4340.96,3120.492,7270.222,932.235,15.163
29612,BUSEDRA,Drammenselva,1993-11-30,2221937927,40.464,576.109,3.012,3158.624,2492.724,7404.09,972.829,10.231
29612,BUSEDRA,Drammenselva,1994-02-28,2144951903,34.27,620.972,2.752,1825.864,2406.356,5687.464,921.362,7.156
29612,BUSEDRA,Drammenselva,1994-05-31,3130152529,36.995,1077.665,8.473,10042.753,3511.622,9008.379,1672.815,20.457
29612,BUSEDRA,Drammenselva,1994-08-31,2240311680,32.018,553.885,4.247,6182.768,2513.337,6766.754,992.721,14.577
29612,BUSEDRA,Drammenselva,1994-11-30,2510405846,53.005,1251.376,1.734,8240.503,2816.347,8937.098,1719.709,15.773
29612,BUSEDRA,Drammenselva,1995-02-28,2248212394,38.473,658.863,1.175,2261.19,2517.488,6699.017,960.546,8.377
29612,BUSEDRA,Drammenselva,1995-05-31,2743660638,21.663,1038.789,8.368,17105.508,3379.819,10176.63,1462.403,24.323
29612,BUSEDRA,Drammenselva,1995-08-31,3951091804,39.498,1189.34,12.086,21260.781,4660.861,15628.768,1915.459,41.247
29612,BUSEDRA,Drammenselva,1995-11-30,1731266858,37.097,428.118,1.674,2625.157,1963.059,5689.187,708.796,8.409
29612,BUSEDRA,Drammenselva,1996-02-29,1779130484,39.212,438.387,1.779,1879.974,1799.516,6548.014,696.462,6.574
29612,BUSEDRA,Drammenselva,1996-05-31,1939349609,36.294,606.315,5.443,6456.878,2048.589,7608.509,914.62,15.506
29612,BUSEDRA,Drammenselva,1996-08-31,1611378121,21.36,378.1,2.813,3943.698,1471.106,6334.009,664.004,9.725
29612,BUSEDRA,Drammenselva,1996-11-30,1812846321,48.638,712.339,3.844,3481.132,1973.657,6475.455,1065.626,10.566
29612,BUSEDRA,Drammenselva,1997-02-28,2103427229,42.573,711.907,2.955,2242.817,2302.385,7460.294,1011.307,8.14
29612,BUSEDRA,Drammenselva,1997-05-31,1803383840,29.943,586.414,3.407,3986.736,2060.232,6345.122,868.867,10.043
29612,BUSEDRA,Drammenselva,1997-08-31,2081011251,26.74,412.937,2.86,3641.803,2092.989,7271.36,801.765,10.811
29612,BUSEDRA,Drammenselva,1997-11-30,1999615518,33.827,598.768,2.369,3029.363,2350.297,6936.701,942.179,8.741
29612,BUSEDRA,Drammenselva,1998-02-28,2179862035,29.038,686.877,4.487,3236.647,2816.395,7511.871,964.646,7.939
29612,BUSEDRA,Drammenselva,1998-05-31,3292576503,39.646,938.43,4.701,5734.66,3741.239,11263.658,1399.693,15.525
29612,BUSEDRA,Drammenselva,1998-08-31,2575265194,42.139,590.935,2.797,4028.061,2730.416,8630.314,1067.162,11.798
29612,BUSEDRA,Drammenselva,1998-11-30,2768373336,60.011,714.487,4.193,4288.646,3373.479,8087.7,1301.575,14.867
29612,BUSEDRA,Drammenselva,1999-02-28,2277702303,36.319,764.762,2.513,1371.161,2724.522,5612.004,998.148,6.884
29612,BUSEDRA,Drammenselva,1999-05-31,3249030737,60.843,869.032,7.192,5913.67,3694.443,9967.625,1298.339,9.523
29612,BUSEDRA,Drammenselva,1999-08-31,2809806151,40.432,715.439,4.758,19934.698,3608.006,10723.616,1248.309,8.12
